Tanggal,Tahun,Bulan,T_avg,RH_avg,RR,Prediction_base_on_RH,Prediction_base_on_T
2020-01-01,2020,1,26.8,90.0,145.3,31.138640909185654,15.604929075540952
2020-01-02,2020,1,27.6,80.0,80.0,11.243919144148805,11.336703697678104
2020-01-03,2020,1,28.5,77.0,0.0,5.275502614637759,6.534950147582407
2020-01-04,2020,1,28.3,82.0,2.5,15.222863497156197,7.602006492048133
2020-01-05,2020,1,27.9,85.0,0.2,21.191280026667243,9.736119180979557
2020-01-06,2020,1,27.0,87.0,18.2,25.170224379674607,14.537872731075254
2020-01-07,2020,1,26.9,89.0,15.0,29.14916873268197,15.071400903308103
2020-01-08,2020,1,28.2,80.0,2.8,11.243919144148805,8.135534664280982
2020-01-09,2020,1,27.7,85.0,28.7,21.191280026667243,10.803175525445255
2020-01-10,2020,1,25.9,90.0,23.6,31.138640909185654,20.40668262563665
2020-01-11,2020,1,26.5,87.0,20.4,25.170224379674607,17.205513592239527
2020-01-12,2020,1,27.9,80.0,4.3,11.243919144148805,9.736119180979557
2020-01-13,2020,1,27.5,82.0,1.5,15.222863497156197,11.870231869910981
2020-01-14,2020,1,28.5,80.0,0.5,11.243919144148805,6.534950147582407
2020-01-15,2020,1,27.9,82.0,33.8,15.222863497156197,9.736119180979557
2020-01-16,2020,1,28.2,83.0,0.0,17.21233567365988,8.135534664280982
2020-01-17,2020,1,28.4,82.0,0.0,15.222863497156197,7.068478319815284
2020-01-18,2020,1,27.5,81.0,78.5,13.233391320652515,11.870231869910981
2020-01-19,2020,1,28.1,78.0,3.8,7.264974791141441,8.669062836513831
2020-01-20,2020,1,28.4,83.0,0.0,17.21233567365988,7.068478319815284
2020-01-21,2020,1,28.6,82.0,2.4,15.222863497156197,6.001421975349558
2020-01-22,2020,1,29.0,80.0,0.3,11.243919144148805,3.867309286418134
2020-01-23,2020,1,28.3,83.0,74.0,17.21233567365988,7.602006492048133
2020-01-24,2020,1,26.8,92.0,7.8,35.11758526219302,15.604929075540952
